grant_id,mechanistic,clinical,research_tool,therapeutic,diagnostic,obs_ep,infrastructure,education
1R01AA031805-01A1,1,0,0,0,0,0,0,0
5R01AA030960-03,0,1,0,0,0,1,0,0
5R61AA031474-02,0,1,0,0,0,0,0,0
5U01AA021696-14,0,0,0,0,0,1,0,0
5R01AA031644-02,0,0,0,0,0,0,0,0
1F31AA032433-01A1,1,0,0,0,0,0,0,0
5R01AA029044-05,0,0,0,0,0,1,0,0
4R00AA031328-03,1,0,0,0,0,0,0,0
5P01AA029543-05-9212,0,0,0,0,0,0,1,0
5K08AA029150-04,0,0,0,0,0,1,0,0
1R01AA031498-01A1,1,0,0,0,0,0,0,0
1P60AA032189-01,0,1,0,0,0,0,0,0
5K01AA029473-04,0,0,0,0,0,1,0,0
5P01AA029543-05-9213,0,1,0,1,0,0,0,0
5P50AA017823-17-8398,0,0,0,0,0,0,1,0
5P50AA017823-17-8401,1,0,0,0,0,0,0,0
4R00AA031065-03,0,0,0,0,0,1,0,0
5R01AA029812-04,0,1,0,0,0,0,0,0
5R01AA029112-05,0,1,0,0,0,0,0,0
5R01AA029303-04,0,1,0,1,0,0,0,0
5R21AA031795-02,1,0,0,0,0,0,0,0
1R01AA032245-01,1,0,0,0,0,0,0,0
1R03AA032321-01,0,0,0,0,0,1,0,0
1R01AA031664-01A1,0,0,0,1,0,0,0,0
5F31AA031177-03,1,0,0,0,0,0,0,0
5R01AA030462-04,0,1,0,1,0,0,0,0
2U54AA027989-06,0,0,0,0,0,0,1,0
5F31AA031630-02,1,0,0,0,0,0,0,0
5R01AA027522-06,0,0,0,0,0,1,0,0
1R21AA032105-01A1,0,0,0,0,0,1,0,0
1R01AA032680-01,0,1,0,1,0,0,0,0
1R01AA032711-01,0,0,0,1,0,0,0,0
1F31AA032406-01,0,0,0,0,0,1,0,0
5R01AA030710-03,1,0,0,0,0,0,0,0
5R25AA020818-13,0,0,0,0,0,0,0,1
1P60AA032176-01-6873,0,0,0,0,0,0,1,0
1P60AA032176-01-6876,0,0,0,1,0,0,0,0
5P50AA011999-27-8314,0,0,0,0,0,0,1,0
5P50AA011999-27-8316,1,0,0,0,0,0,0,0
5P50AA011999-27-8317,0,0,0,1,0,0,0,0
5R01AA029001-05,0,0,0,0,0,1,0,0
5R01AA030156-04,0,1,0,1,0,0,0,0
5R01AA030963-03,0,1,0,0,0,1,0,0
5R01AA026362-07,1,0,0,0,0,0,0,0
5U01AA026975-07,0,0,0,1,0,0,0,0
3R01AA011576-22S1,1,0,0,0,0,0,0,0
1R41AA032157-01,0,0,0,1,0,0,0,0
1SB1AA032146-01,0,0,0,0,1,0,0,0
5R56AA031271-02,0,1,0,0,0,0,0,0
5U01AA026979-07,0,0,0,1,0,0,0,0
3U01AA026108-09S1,0,0,0,0,0,1,0,0
5U10AA008401-37,0,0,0,0,0,1,0,0
5R00AA030601-04,0,1,0,0,0,0,0,0
5P50AA027054-07-8468,0,0,0,0,0,0,1,0
5P50AA027054-07-8472,1,0,0,0,0,0,0,0
5U54AA030463-04-9080,1,0,0,0,0,0,0,0
5P01AA029546-05-9252,0,0,0,0,0,0,1,0
5P01AA029545-05-5711,0,0,0,0,0,0,1,0
5K01AA030325-04,0,0,0,0,0,1,0,0
1R34AA032288-01,0,1,0,0,0,0,0,0
1R34AA032289-01,0,1,0,1,0,0,0,0
1R34AA032472-01,0,1,0,0,0,0,0,0
3R33AA030066-03S1,0,0,0,0,0,1,0,0
3R01AA030156-04S1,0,1,0,1,0,0,0,0
1R01AA032010-01A1,1,0,0,0,0,0,0,0
5P01AA029544-05-9225,0,0,0,0,0,0,1,0
5U10AA008401-37-7179,0,0,0,0,0,0,1,0
1P60AA032189-01-6983,0,1,0,0,0,0,0,0
5P01AA029540-05-5525,0,0,0,0,0,0,1,0
5P01AA029540-05-5529,0,1,0,1,0,0,0,0
5P01AA029540-05-9183,0,1,0,1,0,0,0,0
1F31AA031894-01A1,0,0,0,0,0,1,0,0
1F32AA032738-01,1,0,0,0,0,0,0,0
5R34AA030868-03,0,1,0,1,0,0,0,0
5R34AA032051-02,0,1,0,0,0,0,0,0
1R01AA031689-01A1,1,0,0,0,0,0,0,0
1R01AA031496-01A1,1,0,0,0,0,0,0,0
5R01AA030965-03,0,1,0,0,0,1,0,0
5R01AA030528-03,0,0,0,0,0,1,0,0
5R01AA030308-03,1,0,0,0,0,0,0,0
5R01AA030525-03,0,1,0,0,0,0,0,0
5R01AA031237-02,1,0,0,0,0,1,0,0
5R01AA031666-02,1,0,0,0,0,0,0,0
5R00AA028273-05,1,0,0,0,0,0,0,0
5R01AA030976-03,0,1,0,1,0,0,0,0
5R01AA030183-04,1,0,0,0,0,0,0,0
5R25AA028464-05,0,0,0,0,0,0,0,1
5R21AA031324-02,1,0,0,0,0,0,0,0
5R21AA031892-02,0,0,0,1,0,0,0,0
5R13AA032202-02,0,0,0,0,0,0,1,0
5R03AA032072-02,1,0,0,0,0,0,0,0
5R21AA031528-02,0,0,0,0,0,1,0,0
5R21AA032106-02,0,0,0,0,1,0,0,0
5R21AA031410-02,0,0,0,1,0,0,0,0
1R21AA032585-01,0,0,0,0,0,1,0,0
1R01AA031477-01A1,1,0,0,0,0,0,0,0
5R01AA029819-04,0,1,0,0,0,1,0,0
5R01AA030888-03,0,0,0,1,0,0,0,0
5R01AA024103-09,1,0,0,0,0,0,0,0
5R01AA030258-04,0,1,0,1,0,0,0,0
1R01AA032191-01A1,1,0,0,0,0,0,0,0
5R01AA030470-03,0,1,0,1,0,0,0,0
5R01AA031072-02,0,0,0,0,1,0,0,0
5R01AA030971-02,0,0,0,0,0,0,0,0
5R01AA030786-03,0,1,0,1,0,0,0,0
5R01AA029486-05,1,0,0,0,0,0,0,0
5R01AA031261-02,0,0,0,0,0,1,0,0
5R01AA031591-03,0,1,0,0,0,0,0,0
3R01AA026834-07S1,0,0,0,0,0,1,0,0
2P50AA022538-11-9409,1,0,0,0,0,0,0,0
2P50AA022538-11-9410,1,0,0,0,0,0,0,0
2P50AA022537-11-9453,0,0,0,0,0,0,1,0
2P50AA022537-11-9454,0,0,0,0,0,0,1,0
2P50AA022537-11-9455,1,0,0,0,0,0,0,0
2P50AA022537-11-9457,0,0,0,0,0,1,0,0
5K08AA030301-04,0,0,0,0,0,0,0,0
5K23AA029133-05,0,1,0,1,0,0,0,0
5K23AA028535-05,1,0,0,0,0,0,0,0
1K99AA032053-01,1,0,0,0,0,0,0,0
1K99AA032336-01,1,0,0,0,0,0,0,0
5K99AA031717-02,1,0,0,0,0,0,0,0
5K99AA031718-02,1,0,0,0,0,0,0,0
1F31AA032195-01A1,1,0,0,0,0,0,0,0
1R01AA032401-01,0,0,0,0,0,1,0,0
5U54AA030463-04,1,0,0,0,0,0,0,0
5F31AA030918-03,1,0,0,0,0,0,0,0
4R00AA030611-03,0,0,0,0,0,1,0,0
5K01AA031305-03,1,0,0,0,0,0,0,0
1K01AA032461-01,0,1,0,1,0,0,0,0
5K01AA031724-02,0,0,0,0,0,1,0,0
1K01AA032045-01A1,0,1,0,0,0,0,0,0
5U01AA014091-23,1,0,0,0,0,0,0,0
5R00AA030670-04,1,0,0,0,0,0,0,0
5U24AA013641-25,0,0,0,0,0,0,1,0
5R00AA030052-04,0,0,0,0,0,1,0,0
5K01AA030610-02,0,0,0,0,0,1,0,0
1R21AA031889-01A1,1,0,0,0,0,0,0,0
5F32AA032136-02,1,0,0,0,0,0,0,0
7R01AA031250-02,1,0,0,0,0,0,0,0
3R34AA030942-02S1,0,1,0,1,0,0,0,0
5R01AA024726-09,1,0,0,0,0,0,0,0
5R24AA012885-25,0,0,0,0,0,0,1,0
5R01AA028550-05,1,0,0,0,0,0,0,0
5R01AA029450-04,0,1,0,1,0,0,0,0
5T32AA013525-24,0,0,0,0,0,0,0,1
5R01AA028488-05,0,0,1,0,0,0,0,0
5R01AA030990-03,0,0,0,0,0,1,0,0
5K24AA029958-04,0,1,0,0,0,0,0,0
5R01AA028286-05,0,0,0,0,0,1,0,0
5R44AA027971-04,0,0,0,1,0,0,0,0
5R01AA029758-04,1,0,0,0,0,0,0,0
5R01AA029031-05,0,1,0,1,0,0,0,0
5R01AA029137-06,0,0,0,1,0,0,0,0
1K99AA032034-01,1,0,0,0,0,0,0,0
5T32AA029975-03,0,0,0,0,0,0,0,1
5R01AA029985-04,1,0,0,0,0,0,0,0
5F31AA031908-02,0,0,0,0,0,0,0,0
5F31AA031907-02,0,0,0,0,0,1,0,0
5R01AA028240-05,0,1,0,1,0,0,0,0
5K01AA031531-02,0,0,0,1,0,0,0,0
5R01AA030926-03,0,1,0,1,0,0,0,0
5R44AA024905-08,0,0,0,1,0,0,0,0
5R01AA017986-14,1,0,0,0,0,0,0,0
5R00AA028291-04,1,0,0,0,0,0,0,0
5F31AA031435-02,0,0,0,0,0,1,0,0
5R00AA028777-05,0,1,0,1,0,0,0,0
5R00AA029726-04,1,0,0,0,0,0,0,0
5T32AA027488-07,0,0,0,0,0,0,0,1
5K01AA031516-02,1,0,0,0,0,0,0,0
5R01AA030056-03,1,0,0,0,0,0,0,0
5U01AA029972-04,1,0,0,0,0,0,0,0
5R34AA030688-03,0,1,0,1,0,0,0,0
5K01AA029465-04,0,1,0,0,0,1,0,0
5R01AA029594-04,1,0,0,0,0,0,0,0
5R01AA029605-04,1,0,0,0,0,0,0,0
3R34AA031652-02S1,0,1,0,0,0,0,0,0
5U01AA020911-14,1,0,0,0,0,0,0,0
5R01AA031466-02,0,0,0,0,0,1,0,0
5P50AA012870-25-5028,0,0,0,0,0,0,1,0
5R01AG074010-03,1,0,0,0,0,0,0,0
5R01AG070075-03,1,0,0,0,0,0,0,0
5R01AG074008-03,0,0,0,0,0,1,0,0
5R01AG079170-04,0,0,0,0,0,1,0,0
5R01AG074540-03,1,0,0,0,0,0,0,0
5R01AG074543-03,1,0,0,0,0,0,0,0
5R01AG084834-02,0,0,0,1,0,0,0,0
5R01AG071511-05,0,1,0,1,0,0,0,0
5R01AG069005-05,0,0,0,1,0,0,0,0
5R01AG071803-05,0,0,0,1,0,0,0,0
4R01AG077989-04,0,1,0,0,0,0,0,0
5R01AG071707-05,0,1,0,1,0,0,0,0
5R01AG089426-02,0,0,0,0,0,1,0,0
5R01AG089192-02,1,0,0,0,0,0,0,0
2R01AG042189-07A1,1,0,0,0,0,0,0,0
4R01AG079141-02,1,0,0,0,0,0,0,0
4R01AG076122-02,1,0,0,0,0,0,0,0
4R01AG078352-02,0,0,1,0,0,0,0,0
3R01AG072489-04S1,1,0,0,0,0,0,0,0
3R01AG073402-04S2,0,1,0,1,0,0,0,0
3R01AG086363-02S1,0,0,0,1,0,0,0,0
3R01AG075111-04S1,0,0,0,1,0,0,0,0
3R01AG079832-02S1,1,1,0,1,0,0,0,0
3R01AG089146-02S1,0,0,0,0,0,1,0,0
2P30AG066462-06,0,0,0,0,0,0,1,0
5P01AG029531-13-9956,1,0,0,0,0,0,0,0
5P01AG029531-13-9957,1,0,0,0,0,0,0,0
5P30AG083196-03-7342,0,0,0,0,0,0,1,0
5P30AG083196-03-7343,0,0,0,0,0,0,0,1
5U54DA060049-03-7575,0,0,0,0,0,0,1,0
5P30AG083196-03-7344,0,0,0,0,0,0,1,0
5P30AG072931-05-9504,0,0,0,0,1,0,1,0
5P30AG034532-17,0,1,0,1,0,0,0,0
5P30AG072977-05,0,0,0,0,0,0,1,0
5P30AG022845-22-9310,0,0,0,0,0,0,1,0
5P01AG047200-12,1,0,0,0,0,0,0,0
5P01AG027296-17-6496,0,0,0,0,0,0,1,0
2P30AG028741-16,0,0,0,0,0,0,1,0
2P30AG066582-06,0,1,0,0,0,0,0,0
1P30AG097158-01,0,1,0,0,0,0,0,0
1K08AG088493-01A1,0,0,0,0,0,0,0,0
1K99AG086405-01A1,1,0,0,0,0,0,0,0
5K76AG068508-05,0,1,0,1,0,0,0,0
5K99AG088297-02,0,0,1,0,0,0,0,0
5P01AG027296-17-6494,0,0,0,0,0,0,1,0
5K99AG083058-02,1,0,0,0,0,0,0,0
1K76AG088424-01A1,0,1,0,1,0,0,0,0
1K76AG095138-01,0,0,0,0,0,0,0,1
1K76AG095111-01,0,1,0,0,0,0,0,0
1K76AG095107-01,0,0,0,0,0,1,0,0
1K99AG090739-01A1,1,0,0,0,0,0,0,0
1K23AG091306-01A1,0,1,0,0,1,0,0,0
1K23AG090624-01A1,1,0,0,0,0,0,0,0
5U54AG079759-04-9012,0,0,0,0,0,0,1,0
5U54AG079759-04-9015,0,0,0,0,0,0,1,0
5F99AG088573-02,1,0,0,0,0,0,0,0
4K00AG083292-03,1,0,0,0,0,0,0,0
4K00AG088438-02,1,0,0,0,0,0,0,0
5P30AG086404-02-9043,0,0,0,0,1,0,1,0
5P30AG031679-15,0,0,0,0,0,0,1,0
5P30AG064199-07,0,1,0,1,0,0,0,0
5RM1DA059377-03,0,1,0,0,0,0,0,0
5P30AG072959-05,0,0,0,0,0,0,1,0
2P30AG024827-21-9860,0,0,0,0,0,0,1,0
2P30AG024827-21-9863,0,0,0,0,0,0,1,0
2P30AG024827-21-9865,0,0,0,0,0,0,0,1
5T32AG061892-07,0,0,0,0,0,0,0,1
5T32AG058518-07,0,0,0,0,0,0,0,1
1RF1AG088242-01A1,1,0,0,0,0,0,0,0
5U01AG076549-05,0,0,1,0,0,0,0,0
5R44AG087855-02,0,0,0,0,1,0,0,0
2R44AG071386-03A1,0,0,0,0,0,0,0,0
5R44AG063679-03,0,0,0,0,1,0,0,0
5R44AG079691-03,0,0,1,0,0,0,0,0
5R44AG090114-02,0,0,0,1,0,0,0,0
5R44AG071034-04,0,0,0,0,1,0,0,0
3U01AG077280-03S1A1,0,0,0,0,0,0,1,0
5R00AG070274-05,0,0,0,0,0,1,0,0
5R01AG017644-26,0,0,0,0,0,1,1,0
5R01AG080485-03,0,0,0,0,0,1,0,0
5R01AG049952-08,1,0,0,0,0,0,0,0
5R01AG074946-05,0,1,0,0,0,1,0,0
5R01AG078830-04,1,0,0,0,0,0,0,0
5R01AG079133-04,0,0,0,0,1,1,0,0
5R01AG084706-03,1,0,0,0,0,0,0,0
5R01AG070831-05,1,0,0,0,0,0,0,0
5R01AG074302-05,0,0,0,0,0,1,0,0
5R44DA061722-02,0,0,0,1,0,0,0,0
5R01AG073207-04,0,0,1,0,0,0,0,0
5R01AG080011-03,0,0,1,0,0,0,0,0
5R01AG038465-11,1,0,0,0,0,0,0,0
5R01AG079128-03,0,1,0,0,0,0,0,0
5R01AG088901-02,0,1,0,0,0,1,0,0
5R01AG086270-02,0,0,1,0,0,0,0,0
5R01AG089361-02,0,0,0,0,0,1,0,0
4R00AG083239-02,1,0,0,0,0,0,0,0
3R01AG069128-06S1,0,0,0,0,0,1,0,0
3R01AG081349-02S1,0,0,0,1,0,0,0,0
3R01AG074076-04S1,0,0,0,0,0,1,0,0
3R01AG079523-04S1,0,0,0,0,0,1,0,0
3R01AG078522-04S1,0,0,0,0,0,1,0,0
5P01AG005842-36-6311,0,0,0,0,0,0,1,0
5P01AG005842-36-6312,0,0,0,0,0,0,1,0
5P01AG005842-36-6314,0,1,0,0,0,0,0,0
5P01AG005842-36-6318,0,1,0,0,0,1,0,0
2U19AG063911-06-9120,0,0,0,0,0,0,1,0
2U19AG063911-06-9127,0,0,0,0,0,0,1,0
2U19AG063911-06-9128,0,0,1,0,0,0,0,0
7K01AG071847-06,0,0,0,0,0,0,0,1
1F31AG094267-01,0,0,0,0,0,1,0,0
5R33AG078470-04,0,0,1,0,0,0,0,0
1R21AG091223-01A1,0,0,0,1,0,0,0,0
4R33AG076861-02,0,0,0,0,0,1,0,0
4R33AG078799-02,0,0,1,0,0,0,0,0
1R13AG089983-01A1,0,1,0,0,0,0,1,0
1R25AG086101-01A1,0,0,0,0,0,0,0,1
1R21AG093042-01,1,0,0,0,0,0,0,0
5R25AG083731-03,0,0,0,0,0,0,0,1
1R03AG094840-01,1,0,0,0,0,0,0,0
1R03AG095992-01,0,0,0,0,0,1,0,0
1R03AG095793-01,0,1,0,0,0,1,0,0
1R21AG089947-01A1,0,0,0,0,1,0,0,0
1R03AG090954-01A1,1,0,0,0,0,0,0,0
2R13AG057087-09,0,0,0,0,0,0,1,0
1R13AG096985-01,0,0,0,0,0,0,1,0
4R01AG074044-02,0,0,0,0,0,1,0,0
1R01AG092368-01,1,0,0,0,0,0,0,0
5R00AG078503-04,0,0,0,0,0,0,0,0
5R00AG076739-04,1,0,0,0,0,0,0,0
4R00AG073452-03,0,0,0,0,0,1,0,0
5R00AG079117-04,0,0,0,1,0,0,0,0
4R00AG076877-03,1,0,0,0,0,0,0,0
4R00AG078557-03,1,0,0,0,0,0,0,0
1R41AG092199-01,0,0,0,1,0,0,0,0
1R43AG090142-01A1,0,1,0,0,0,0,0,0
1R41AG094359-01,0,0,0,1,0,0,0,0
2R44AG079736-02A1,0,1,0,1,0,0,0,0
1SB1AG090151-01A1,0,1,0,1,0,0,0,0
1R44AG097382-01,0,1,0,0,0,0,0,0
1R43AG091831-01A1,0,1,0,0,0,0,0,0
1R43AG097214-01,0,0,1,0,0,0,0,0
1R43AG097252-01,0,1,0,0,0,0,0,0
5P30AG086401-02-8990,0,0,0,0,0,0,0,1
1R61DA063638-01,0,1,0,0,0,0,0,0
5P01AG073084-05-7970,0,0,0,0,0,0,1,0
5P01AG073084-05-7971,0,0,0,0,0,0,1,0
5P01AG073084-05-7975,1,0,0,0,0,0,0,0
5U54AG054345-10-9669,0,0,0,0,0,0,0,0
5P30AG072977-05-9777,0,0,0,0,0,0,1,0
5P30AG072977-05-9783,0,0,0,0,0,0,0,1
5U54AG076043-05-6330,0,0,0,0,0,0,1,0
5U19AG078109-04-9903,0,0,0,0,0,1,0,0
5U19AG051426-09-9393,0,0,0,0,0,0,1,0
5U19AG065188-06-7922,0,0,0,1,0,0,0,0
5U19AG065169-05-6341,0,0,0,0,0,0,1,0
5U19AG065169-05-5865,0,0,0,0,0,0,1,0
5U19AG065169-05-6347,0,0,0,0,0,1,1,0
5P01AG082653-02-6381,0,0,0,0,0,0,1,0
5P01AG082653-02-6383,0,0,0,0,0,1,0,0
5U54AG065187-07-8085,0,0,0,0,0,0,1,0
5U54AG065187-07-8086,0,0,0,0,0,0,1,0
2P30AG024832-21-5155,0,0,0,0,0,0,1,0
1P30AG096979-01-7326,0,0,0,0,0,0,1,0
2P30AG066613-06-7898,0,0,0,0,0,0,1,0
1U01AG097744-01,0,1,0,0,1,0,0,0
1U01AG097746-01,0,0,0,0,0,1,0,0
2P30AG066587-06-7347,0,0,0,0,0,0,1,0
2U54AG062334-06-6243,0,0,0,0,0,0,1,0
5P30AG086401-02-8986,0,0,0,0,0,0,1,0
5P30AG086401-02-8987,0,0,0,0,0,0,1,0
5P30AG086401-02-8988,0,0,0,0,0,0,1,0
5U54AG054345-10-9668,0,0,0,0,0,0,1,0
5U54AG075931-05-7182,0,0,0,0,0,0,1,0
5U19AG065188-06-7921,0,0,0,1,0,0,0,0
5P01AG047200-12-7317,1,0,0,0,0,0,0,0
5P01AG047200-12-7319,0,0,1,0,0,0,0,0
5P01AG082653-02-6385,0,0,0,0,0,1,0,0
5U54AG090084-02-5626,0,0,0,0,0,0,1,0
